symbol,open_price,close_price,change_percent,volume,turnover
AIRTEL,114.98,114.98,0.0,0.0,0.0
BHL,15.0,15.0,0.0,32888.0,493320.0
FDHB,595.11,594.89,0.0,2322.0,1381348.0
FMBCH,2850.0,2850.0,0.0,0.0,0.0
ICON,15.97,15.97,0.0,0.0,0.0
ILLOVO,2680.08,2680.08,0.0,0.0,0.0
MPICO,19.45,19.45,0.0,0.0,0.0
NBM,11719.8,11719.7,0.0,84.0,984454.8
NBS,891.44,891.39,0.0,463.0,412713.57
NICO,1714.58,1714.58,0.0,0.0,0.0
NITL,3934.44,3934.44,0.0,0.0,0.0
OMU,3790.05,3790.05,0.0,0.0,0.0
PCL,7827.99,7827.99,0.0,2.0,15655.98
STANDARD,4238.95,4238.95,0.0,0.0,0.0
SUNBIRD,1700.02,1700.02,0.0,0.0,0.0
TNM,31.25,31.25,0.0,205.0,6406.25
